year,stalpbr,loans,re_loans,agloans,agloans_re,loans_year,re_loans_year,agloans_year,agloans_re_year,loans_d,loans_d_alt,re_loans_d,re_loans_d_alt,agloans_d,agloans_d_alt,agloans_re_d,agloans_re_d_alt,loans_d_year,loans_d_alt_year,re_loans_d_year,re_loans_d_alt_year,agloans_d_year,agloans_d_alt_year,agloans_re_d_year,agloans_re_d_alt_year,total_branches,total_ag_branches,total_ag_branch_deposits
1994,MA,88438213811.85529,51730954006.78799,60693509.81387623,15159794.381740361,88617045264.7615,52047454891.61112,68194458.03766339,14516442.687183525,1559774423.680342,1559774423.680342,1139509403.6547148,1139509403.6547148,5850999.999999995,5850999.999999995,1567999.9999999998,1567999.9999999998,1427616675.4508293,1427616675.4508293,1038250542.6912628,1038250542.6912628,5526364.12935188,5526364.12935188,1265250,1265250,1968,0,0
1994,MD,43840122340.81739,27718352336.959194,56691643.78560321,116584527.0947575,42901359399.653854,27108479801.945675,52433980.91246305,110842345.76727842,814119329.093657,814119329.093657,605458069.6159074,605458069.6159074,265999.9999999999,265999.9999999999,3955493.366130054,3955493.366130054,751268941.9671987,751268941.9671987,560291502.9569848,560291502.9569848,260250.00000000003,260250.00000000003,3059617.0230824035,3059617.0230824035,1782,0,0
1994,ME,10578337496.6098,7042371425.431177,46365999.99999996,9895999.999999998,10753941194.95368,7167494045.820732,50938999.99999997,11645250.000000002,176451978.44244137,176451978.44244137,130749930.98587155,130749930.98587155,244000,244000,45000,45000,163717439.62199432,163717439.62199432,117140335.46923245,117140335.46923245,639000,639000,75500.00000000003,75500.00000000003,492,0,0
1994,MH,49784499.52227386,20861144.414178126,198385.46170813742,33215.21311774748,50052327.00792512,21214385.88794705,187297.85778091298,32701.72450084988,341831.04212543496,341831.04212543496,123447.06498409215,123447.06498409215,49167.97745170124,49167.97745170124,421.1760565564645,421.1760565564645,414458.3350644292,414458.3350644292,198454.74173812853,198454.74173812853,49110.282101488025,49110.282101488025,2206.8471456554475,2206.8471456554475,5,0,0
1994,MI,85772410082.93423,44744677041.41111,413324965.8597128,264993988.14349627,88739555611.53105,46272090521.25603,398671472.05193037,267225404.80384797,876444798.5112146,876444798.5112146,610361672.7698727,610361672.7698727,6266000.002992305,6266000.002992305,4750000.018701962,4750000.018701962,847064124.727558,847064124.727558,577071518.6996379,577071518.6996379,7134666.670531744,7134666.670531744,4831416.710055232,4831416.710055232,2946,37,2556730000
1994,MN,43426235634.53398,21120444961.43773,2236828850.825523,1083192965.7561674,43795755054.0739,21005488738.503384,2184194779.821983,1094673292.9352388,320480661.483088,320480661.483088,153115300.78793553,153115300.78793553,29956998.659620073,29956998.659620073,15012999.539454646,15012999.539454646,309519722.96927625,309519722.96927625,153517127.1683992,153517127.1683992,28553747.93742711,28553747.93742711,15132999.895400466,15132999.895400466,1437,396,13141798000
1994,MO,47540343331.262024,28607907796.16802,1399308707.17308,1293371753.3672276,48141587836.92784,29032157394.01385,1349515187.5280395,1293689655.7898993,595033149.784437,595033149.784437,390434472.49178207,390434472.49178207,15837946.981589835,15837946.981589835,16377960.039960027,16377960.039960027,585293444.5982057,585293444.5982057,382477577.6184117,382477577.6184117,14350451.905237611,14350451.905237611,14930714.481946634,14930714.481946634,1848,320,14452965000
1994,MP,355166804.74299896,156618358.68659475,746659.6772899579,138391.0967727474,355084507.2569305,157850585.23850808,783003.4996183543,130377.24764751035,5564244.128905437,5564244.128905437,3568414.0854969877,3568414.0854969877,150339.1512034059,150339.1512034059,5453.412814941713,5453.412814941713,5029600.719597585,5029600.719597585,3113891.692504437,3113891.692504437,149374.26923079573,149374.26923079573,8681.397171123197,8681.397171123197,9,0,0
1994,MS,14659575012.720423,8005261708.061788,489763059.8462313,491111037.9879439,14996909518.449846,8192281297.77389,484930309.52251863,504001203.31732726,146560357.93220618,146560357.93220618,86845447.47474003,86845447.47474003,9066000.534608468,9066000.534608468,5631000.031697522,5631000.031697522,143678189.2000928,143678189.2000928,82980097.24399334,82980097.24399334,7197416.875811614,7197416.875811614,5950750.01811286,5950750.01811286,1071,64,5383517000
1994,MT,5529357142.487707,2617355703.9307947,682956146.104252,232039003.0712606,5592071971.873832,2669416254.7328143,664556138.5845392,236750169.744021,36877507.97507076,36877507.97507076,12606443.297584765,12606443.297584765,6080011.943791056,6080011.943791056,1456000,1456000,37474743.736599416,37474743.736599416,12385810.098659167,12385810.098659167,7037348.909011874,7037348.909011874,1612666.6666666665,1612666.6666666665,257,73,2325435000
