year,stalpbr,loans,re_loans,agloans,agloans_re,loans_d,loans_d_alt,re_loans_d,re_loans_d_alt,agloans_d,agloans_d_alt,agloans_re_d,agloans_re_d_alt,total_branches,total_ag_branches,total_ag_branch_deposits
2019.3,NE,59451194152.88483,33081880264.658245,7301632427.561972,6056416703.000086,886628279.1956859,491197826.3181254,383568002.1931894,215670067.56159586,143092919.68796605,69656898.83338785,109020884.62121959,62285838.14597559,1074,614,489582474000
2019.3,NH,29359832398.489258,17650317267.21675,13553144.363372106,22911304.97150022,320377754.185011,195456063.33691394,192748054.3732498,131301304.79935418,324690.8221651868,278965.98980392225,444214.5830820509,300467.55015021464,409,0,0
2019.3,NJ,283189498373.7576,172483341336.03027,288480063.7744905,438427149.64866513,3874190648.0253644,2444585327.389547,2550775425.362779,1716774600.6257825,7232405.884101104,5816776.419772468,12690203.306567494,9784668.185263336,2810,0,0
2019.3,NM,24036297931.675953,13490047346.988602,360549203.4926225,354820588.8670501,375065083.20066404,239621359.70386106,256996414.99550906,176341098.25048006,3237199.806756855,2495742.2274914393,7890525.264806302,5237949.9992676675,455,20,3988046000
2019.3,NV,80896328547.14658,49538584142.973465,152301838.61597192,132163427.53564878,1089288165.9243143,776327229.4473268,635940864.0945542,439564752.3846805,3763706.8797423136,2757660.9676384367,2853115.756380144,2216223.4290270293,491,0,0
2019.3,NY,1279687009557.8362,587610597743.5332,1271616939.0703623,982068576.2978293,17628944896.68831,10768405046.69158,9862322749.042889,6509217101.126343,15301986.245443929,9965090.587027365,29291400.10888591,24226954.459348533,4794,5,2726913000
2019.3,OH,318015630561.28253,157545473736.7293,1121635624.457847,2712821334.4190807,4200906351.4381647,2718486321.3785596,2616256045.2563286,1860992678.0067086,11968788.36123576,9191305.319114907,49525371.10800365,40749398.559193,3528,56,30193061000
2019.3,OK,77617714630.85986,51939068247.16583,2393352973.3596387,2976541877.642629,3111741562.2953486,1940957270.82944,2703636875.9586763,1694438800.9277432,50341808.33997241,30825394.45012749,73046633.3205137,48929657.678247266,1338,166,33133359000
2019.3,OR,64829868983.50371,34856378231.86719,728842752.1604924,696482856.7875904,856186633.4675262,551204926.4870099,543338387.0609678,387250959.9408,11588154.562838089,8311240.05123811,8037884.616966168,6432499.129034674,945,30,10897910000
2019.3,PA,346501791825.32135,189101368049.13297,663562445.3744515,2727122135.155425,4591066535.7608595,2964297243.680253,3183126673.275762,2163023940.4173703,11975632.673136482,9229101.928159522,58490293.42618499,41207347.15927116,4014,53,49816552000
2019.3,PR,61752634968.46769,26717997674.421825,43922412.84276374,76622256.52007347,3204226761.3737845,2437193002.0108433,2510634474.7817297,2085341212.423376,504962.221907626,478712.2166062768,29012436.890571624,29012436.890571624,298,0,0
2019.3,PW,224465734.95183226,153610107.92431888,14770.48165676917,73425.25685202212,5320293.856002517,2202968.122140287,3744134.5550078414,1563735.1036146516,0,0,17370.610458207746,17370.610458207746,3,0,0
2019.3,RI,27262827617.955494,15318243162.28314,6347800.492545203,10959642.88482912,316486849.5275921,205759113.57641232,189386350.73628148,139631084.21101707,249661.24366483072,247016.05179883167,350249.5478298162,255958.189112178,252,0,0
2019.3,SC,70336250244.65622,42933057577.45007,224632556.117627,415308084.94315535,927304073.8299168,575252748.9380189,657121630.7413489,437604326.85546005,2835702.3407310215,2189707.9051508317,14515112.030484436,12821287.513775548,1193,0,0
2019.3,SD,660035262554.8057,230448445827.90018,4608309959.718983,3739230262.108055,11985594500.538511,7482989304.050323,6493742000.366182,4509172720.326807,87496240.42984283,58867306.77668995,117761830.38726531,94935686.81110768,457,216,161677412000
2019.3,TN,138497323774.7633,83291778818.1778,519733545.0907085,1659119453.1709464,1731652265.0522547,1093690909.8892071,1009523868.5333816,634928070.0550288,7833084.847800207,5497373.129899527,34670566.68066149,19241176.063660864,2031,24,9832179000
2019.3,TX,654637390361.0444,323731045046.26324,5340585077.322823,6801626377.590462,9826520447.484789,6184123334.734041,5696695452.250569,3826141193.5711107,60433553.55988011,39316385.62413429,100889791.15118188,68194181.58825536,6398,241,77009979000
2019.3,UT,525915964337.72076,80726287234.13487,307371120.60626835,373566149.4180025,10646675501.332396,4859495604.807364,743980705.6280464,426725881.8944285,12164354.228208153,9329504.779322049,7066127.033789727,5493775.740389015,512,6,4283502000
2019.3,VA,274510311358.82626,95971843762.75024,407562905.34312594,970698257.6319042,6763829157.650055,3508414788.036064,1788417435.6434882,1196051557.1566546,5772677.648243956,4395881.431377878,22886728.21947078,14100463.990090016,2223,21,30063435000
2019.3,VI,1865707980.9375803,1138553256.9137647,721185.2491042273,2058953.3144033386,128824469.59240112,98733660.09746177,110399119.14963701,90317720.33759794,79398.56260891884,64215.76537022277,181907.24520010728,181907.24520010728,22,0,0
2019.3,VT,11684755082.444597,7881192544.811292,22599733.798004754,48152519.84846158,134808012.86056408,80010062.29256214,93918634.25817478,61340353.801464364,208908.50532462695,121867.58075787609,1208193.8135389388,867587.6612694651,235,0,0
2019.3,WA,131683260923.75104,73171550666.52388,1277383766.053445,956473710.8898226,1582685292.6163092,1031899196.7382139,1021268437.4672695,719149440.6055799,13149158.143393638,9825764.708001552,14408139.992437117,11214650.1746481,1669,24,8568312000
2019.3,WI,133622293056.47046,76719811072.26291,4690263980.631095,3795124714.181507,1785656187.0786376,1193028124.2089124,1111469219.8226042,796586521.7671144,109602306.14127755,55347196.60923429,159665764.55784568,131453399.9723855,1919,202,62546908000
2019.3,WV,29831684973.311405,21596223100.292915,55773139.265785135,181151769.6980155,471628861.424014,276116153.8923073,372098611.769515,221036747.88979143,262253.61931576533,227676.48464311837,4815149.101608474,2977156.361172996,608,0,0
2019.3,WY,11644741803.99244,7648281236.267839,530325784.074512,618757497.1171616,165363669.9514833,101082864.5984801,106330563.63337135,68475048.53684041,7545432.778309605,4619038.413505964,12434610.888925795,8938801.8111773,220,31,15913401000
